,tokens,class
41,"['sugestões', '2010', 'melhor', 'colocar', 'chuck', 'norris', 'protagonista', 'série', 'tv', '24hs']",-1
42,"['sugestões', '2010', 'melhor', 'menos', 'calcinha', 'preta', 'rádios', 'aliás', 'calcinha', 'bem', 'melhor']",-1
43,"['melhores', 'mulheres', 'querem', 'trepar', 'piores', 'querem', 'lemmy', 'motörhead', 'homemdeverdade']",3.3
44,"['homem', 'verdade', 'sabe', 'desenhar', 'pinto', 'conhece', 'pau', 'honre', 'pinto']",3.1
45,"['homemdeverdade', 'viver', 'dignidade', 'conceito', 'extinção', 'plena', 'aqui', 'foco', 'resistência']",-1
46,"['gostar', 'mulher', 'ter', 'vergonha', 'twittealgomuitoantigo']",-1
47,"['heterosexual', 'homem', 'verdade', 'twittealgomuitoantigo']",3.1
48,"['saber', 'pegar', 'mulher', 'parecer', 'babaca', 'twittealgomuitoantigo']",3.3
49,"['geisy', 'fantástico', 'deu', 'nota', '8', 'más', 'noticias', 'geisy', 'ilegal', 'gente', 'dar', 'nota', 'vc', '4', 'ruim']",-1
50,"['lenazzo', 'parametros', 'notas', 'complexos', 'resumo', 'marlene', 'mattos', '0', 'monica', 'bellucci', '10', 'vc', 'pegaria', 'partir', '5', 'bom']",3.3
51,"['homemdeverdade', 'fala', 'boquete', 'recebe', 'rt', 'sarahshoeme', 'liberdade', 'significa', 'falar', 'boquete', 'fala', 'clima']",-1
52,"['vão', 'comer', 'arroz', 'feijão', 'fdp', 'frescos', 'caralho']",-1
53,"['rt', 'homemdeverdade', 'rt', 'porcopedia', 'pra', 'vc', 'desmaia', 'qdo', 'tira', 'sangue', 'chegou', 'plano', 'odontomacho', 'http307tofnj', 'lenazzo']",-1
54,"['kassabe', 'homemdeverdade', 'diria', 'culpa', 'fiz', 'projeto', 'algum', 'chuvas', 'vcs', 'povão', 'porco', 'cobra', 'nada']",-1
55,"['sobreviver', 'haiti', 'missão', 'homemdeverdade']",-1
56,"['mariolemes', 'vc', 'homemdeverdade', 'twitter']",3.1
57,"['video', 'clipe', 'semana', 'httpwwwyoutubecomwatchviqghq0ilvok']",-1
58,"['homemdeverdade', 'usa', 'twitter', 'pergunta', 'fazem', 'todo', 'momento']",-1
59,"['claro', 'sim', 'vc', 'babaca', 'nerds', 'valentão', 'rede', 'mulher', 'imbecil', 'hipster', 'freak', 'viciado', 'celebridades']",3.3
60,"['propósito', 'homemdeverdade', 'vai', 'campus', 'party', 'lugar', 'baitolinhas', 'amigos', 'reais', 'virgem']",3.1
61,"['homemdeverdade', 'homem', 'metade', 'http19mediatumblrcomtumblrktygckpa2e1qz88eno1400jpg']",-1
62,"['homemdeverdade', 'precisa', 'lingerieday', 'puta', 'parada', 'barangasnerds', 'atrás', 'rolas', 'virgens', 'pra', 'sites', 'pornôs', 'bem', 'melhores']",3.3
63,"['campusparty', 'lugar', 'deve', 'feder', 'espinha', 'azeda', 'passou', 'validade', 'menos', 'mulher', 'vale', 'tudo', 'juazeiro']",3.3
64,"['homemdeverdade', 'viu', 'ipad', 'gritou', 'steve', 'mesa', '7', '2', 'cervejas', '4', 'copos', 'americanos', 'porção', 'fritas', 'outrade', 'calabresa']",-1
65,"['homem', 'homem', 'conhece', 'dois', 'cheiros', 'mulher', 'bom', 'ruim']",3.1
66,"['usa', 'camiseta', 'manga', 'menos', 'vá', 'malhar', 'praticar', 'algum', 'esporte']",-1
67,"['deus', 'justo', 'calça', 'carol', 'mamãeeee']",-1
68,"['faz', 'campeonato', 'peido', 'amigos']",-1
69,"['bebe', 'cana', 'pura', 'faz', 'careta']",-1
70,"['homem', 'homem', 'arrota', 'suco', 'laranja']",3.1
71,"['palavra', 'dia', 'homem', 'homem', 'diz', 'fragrância']",3.1
72,"['homem', 'homem', 'arrota', 'suco', 'laranja', 'ouvido', 'namorada']",3.1
73,"['homem', 'homem', 'come', 'carne', 'peixe', 'coisa', 'bixa']",3.1
74,"['faz', 'pontaria', 'qlq', 'coisa', 'q', 'der', 'telha', 'jato', 'mijo']",-1
75,"['lava', 'cueca', 'q', 'acabou', 'comprar', 'antes', 'usar']",-1
76,"['homem', 'homem', 'brinca', 'girocóptero', 'banheiro', 'casa', 'sogra']",3.1
77,"['conhece', 'três', 'cores', 'azul', 'vermelho', 'amarelo']",-1
78,"['homem', 'homem', 'come', 'doritos', 'pimenta', 'geléia', 'extraforte', 'pimenta', 'guaraná', 'ice']",3.1
79,"['porteiro', 'homemdeverdade', 'rt', 'latinlover', 'massagear', 'ego', 'mulher', 'elogiar', 'bunda', 'peitos', 'porteiro', 'faz']",-1
80,"['mão', 'homem', 'calos']",3.1
81,"['homem', 'homem', 'assiste', 'fazenda']",3.1
82,"['musical', 'kiporréssa', 'homem', 'homem']",3.1
83,"['sexochurrascocervejadormir', 'carnavalem4palavras']",-1
84,"['homem', 'homem', 'nota', 'esmalte', 'mulheres']",3.1
85,"['homem', 'homem', 'come', 'bebe']",3.1
86,"['homem', 'homem', 'troca', 'pênis', '1', 'fígado']",3.1
87,"['brocha', 'calcinha', 'bege']",-1
88,"['sabe', 'cor', 'bege']",-1
89,"['fodemal', 'sabe', 'nadar', 'amputa', 'pernas', 'melhor', 'inválido', 'incompetente']",10.2
90,"['sim', 'fazer', 'ficar', 'twittando', 'entretenimento']",-1
91,"['manda', 'pro', 'amigo', 'franguinha', 'httpbigassmessagecom2fef80ca9']",-1
92,"['feliz', 'homens', 'gostam', 'mulheres', 'httplooklooktumblrcom']",4.2.2
93,"['130', 'operárias', 'queimadas', 'dentro', 'fábrica', '1857', 'homemdeverdade', 'bundão', 'covarde', 'carater']",-1
94,"['homemdeverdade', 'vacila', 'assume', 'rapidamente', 'responsabilidade', 'paga', 'erro', 'humor']",3.1
95,"['dar', 'risada', 'si', 'homemdeverdade', 'rir', 'cagadas', 'alheias', 'melhor', 'ainda']",-1
96,"['hora', 'sexta', 'feira', 'homemdeverdade', 'vai', 'pra', 'baladinha', 'vagabundoessa', 'hora', 'demos', 'duas', 'agora', 'relax']",3.1
97,"['latinlover', 'cedemos', 'encanto', 'caímos', 'boca', 'caro']",-1
98,"['fala', 'ai', 'mariquinhas', 'afins', 'vai', 'falta', 'culhão', 'resolver', 'qualquer', 'coisinha']",4.2.2
99,"['agora', 'sim', 'homemdeverdade', 'pode', 'usar', 'perfume', 'httpwwwyoutubecomwatchvwx6dp99bye']",3.1
100,"['latinlover', 'perfume', 'pra', 'mão', 'jovem', 'amantepra', 'mão', 'cappice']",-1
101,"['pedidos', 'recuso', 'falar', 'bbb', 'homemdeverdade', 'entra', 'programinha', 'pra', 'ganhar', 'milhão', 'gente', 'ganha', 'batalha', 'dia', 'dia']",3.1
102,"['frangas', 'ali', 'bombadinhos', 'chiliquentos', 'gays', 'exploram', 'condições', 'pedaços', 'carne', 'massa', 'carcerária']",-1
103,"['ricky', 'martin', 'demorou', 'tanto', 'tempo', 'assim', 'pra', 'assumir', 'pq', 'tava', 'dando', 'bunda', 'reprima', 'caralho', 'literalmente', 'pra', 'vc']",-1
104,"['futebol', 'hqeh', 'atacante', 'acha', 'meiodecampo', 'coisa', 'veado']",3.1
105,"['hqeh', 'sai', 'mostrando', 'bunda', 'época', 'carnaval']",3.1
106,"['hqeh', 'pergunta', 'esposanamorada', 'onde', 'quer', 'ir', 'fala', 'pra', 'onde', 'vão', 'pronto']",3.3
107,"['hqeh', 'acorda', 'cedo', 'pra', 'assistir', 'jogos', 'copa', 'worldcup']",3.1
108,"['brunynhobtc', 'espirito', 'true', 'man']",-1
109,"['pra', 'gosta', 'futebol', 'fodase', 'mané', 'alma']",-1
110,"['aliás', 'pra', 'ver', 'futebol', 'copa', 'vai', 'acompanhar', 'nada', 'próximos', '4', 'anos', 'novo', 'deixe', 'gosta', 'ver', 'paz']",-1
111,"['frangas', 'plantão', 'voltei', 'chhuuuuupaaaaaa']",-1
112,"['vc', 'chique', 'benhe', 'ryanreminho', 'live', 'httptwitcamcom11hdu']",-1
113,"['gosto', 'cameras', 'rs', 'ryanreminho', 'live', 'httptwitcamcom11hdu']",-1
114,"['tadinho', 'goby', 'rsrsrs', 'ryanreminho', 'live', 'httptwitcamcom11hdu']",-1
115,"['bom', 'gente', 'boa', 'twitcam', 'pra', 'todosssss', 'cheirossss', 'ryanreminho', 'live', 'httptwitcamcom11hdu']",-1
116,"['kcris', 'ouvindo', 'música', 'preciso', 'vc', 'excelente', 'linda', 'foda', 'pq', 'tô', 'separando', 'pqp']",-1
117,"['fcnossamorango', 'excelente', 'post', 'história', 'tb']",-1
118,"['rt', 'salvenordeste', 'obrigado', 'apoio', 'contamos', 'vc', 'divulgação', 'campanha', 'salvealagoas', 'salvepernambuco']",-1
119,"['thaisbza', 'kkkkkk', 'massa', 'né', 'pode', 'passar', 'pra', 'frente', 'claro', 'cheiros']",-1
120,"['sentiram', 'q', 'tá', 'tudo', 'errado', 'q', 'pessoas', 'importantes', 'acabam', 's', 'perdendo', 'errosinseguranças', 'foda', 'hora', 'mudar', 'boas', 'noites']",-1
121,"['aninhaebc', 'tá', 'msn']",-1
122,"['aninhaebc', 'ta', 'chiques', 'rs', 'mtos', 'contatos', 'hahaah', 'ta', 'boa']",-1
123,"['angelicamorango', 'nusssss', 'magavilha', 'heinnn', 'massa', 'promo']",-1
124,"['h', 'maiúsculo', 'twitter', 'então', 'sabe', 'deve', 'ter', 'criado', 'perfil']",-1
125,"['gosta', 'bater', 'papo', 'msn', 'responde', 'porque', 'outros', 'falam', 'tempo', 'pra', 'frescura']",3.1
126,"['faz', 'unhas', 'corta', 'tesoura', 'corta', 'trinco']",-1
127,"['usa', 'roupa', 'corderosa', 'roxo']",-1
128,"['faz', 'barba', 'todo', 'dia']",-1
129,"['gosta', 'fazer', 'compras', 'faz', 'porque', 'mulher', 'força']",3.1
130,"['olha', 'primeiro', 'pros', 'peitos', 'mulheres']",3.3
131,"['gosta', 'futebol', 'cerveja', 'mulheres']",-1
132,"['amiga', 'morre', 'vontade', 'comêlas']",3.3
133,"['volteiiii', 'agora', 'pra', 'ficarrrr']",-1
134,"['convida', 'nui', 'sampa', 'rt', 'htcolorido', 'vamos', 'p', 'baladinha', 'sampa', 'fabsramos', 'liviacastrofoto', 'tiaglopes', 'brunomatos', 'lucas']",-1
135,"['ninguém', 'chega', 'casa', 'falando', '“', 'mãe', 'hétero', '”', 'então', 'chegar', 'dizer', '“', 'mãe', 'gay', '”', '”', 'mariagadu', 'epronto']",-1
136,"['angelicamorango', 'taí', 'qria', 'picolé', 'carambola', 'jambo', 'recifefeelings', 'dia', 'hj', 'mto', 'trab', 'noite', 'solidão', 'fera']",-1
137,"['oxente', 'pq', 'tão', 'santa', 'rsrt', 'agdabritto', 'docepimentasp', 'oooooooooo', 'maluca']",-1
138,"['1', 'coisa', 'ñ', 'elimina', 'outra', 'rt', 'quasegay', 'agdabritto', 'ain', 'menina', 'entrevista', 'd', 'emprego', 'semana', 'vem', 'vou', 'sair', 'prostituição', 'rs']",-1
139,"['angelicamorango', 'pimenta', 'comentada', 'estrevista', 'httptwitpiccom1o2bln']",-1
140,"['ainda', 'acredito', 'estarei', 'recife', 'dia', '2407', 'oquartosecreto', 'angelicamorango', 'serio', 'saco', 'boloderolofeelings']",-1
141,"['angelicamorango', 'hj', 'tdo', 'mundo', 'preoc', 'c', 'colega', 'escrit', 'sabia', 'q', 'ido', 'fazer', 'entrevista', 'disfarçando', 'fazendo', 'preocupada']",-1
142,"['nasceu', '13121978', 'acredite', 'apelido', 'infância', 'maria', 'desastre', 'rt', 'alineborel', 'tá', 'pra', 'nascer', 'pessoa', 'desastrada']",-1
143,"['hj', 'vi', 'biacampos12', 'perguntando', 'p', 'angelicamorango', 'tt', 'funciona', 'promoção', 'dona', 'morangorespondendo', 'funciona', 'odiadehoje']",-1
144,"['alineborel', 'sério', 'qq', 'dia', 'relato', 'umas', 'boas', 'especialista', 'pósgraduada', 'auto', 'flagelação', 'formei', 'desligamento', 'exemplo']",-1
145,"['alineborel', 'ex', 'hj', 'percebi', 'vc', 'promoter', 'comunidade', 'morango', 'ainda', 'tô', 'tentando', 'descobrir', 'sócia', 'tofalando']",-1
146,"['analethicia', 'aff', 'tutorial', 'tédio', 'vê', 'edição', 'vídeo', 'vc', 'entra', 'facul', 'maquiagem']",-1
147,"['renatuuus', 'q', 'fodas', 'hein', 'amigo']",-1
148,"['marlenebicalho', 'q', 'vc', 'nunca', 'falou', 'comigo', 'madry', 'então', 'fiquei', 'triste', 'quase', 'ligando', 'pro', 'falaqueeuteescuto', 'pra', 'pedir', 'oração', 'agoraestoufeliz']",-1
149,"['adoro', 'energia', 'daqui', 'gosto', 'lembrar', 'vou', 'trabalhar', 'feriado', 'gosto', 'ter', 'emprego', 'então', 'tá', 'ótimo', 'rs']",-1
150,"['tá', 'doendo', 'simmm', 'tá', 'doendo', 'mimmmmm', 'namorada', 'felipe', 'melo', 'httpwwwyoutubecomwatchvajv6yjrekqm']",3.3
151,"['marlenebicalho', 'jeito', 'desastrada', 'coloco', 'copo', 'água', 'cima', 'tv', 'fico', 'melhornao', 'oremospranaoorar']",-1
152,"['marlenebicalho', 'começou', 'fala', 'escuto', 'assistir', 'dr', 'house', 'dá', 'nisso', 'hahahaha']",-1
153,"['marlenebicalho', 'qq', 'dia', 'relato', 'umas', 'pósgraduada', 'autoflagelação', 'm', 'formei', 'desligamento', 'apelido', 'd', 'infancia', 'maria', 'desastre']",-1
154,"['quê', 'rt', 'patriciakataki', 'vc', 'deixou', 'pq']",-1
155,"['marlenebicalho', 'bora', 'fazer', 'campeonato', 'madry', 'hahaha', 'vc', 'podia', 'mãe', 'embora', 'ache', 'idade', 'snifff', 'saudadedemainha']",-1
156,"['marlenebicalho', 'ia', 'dar', 'boa', 'noite', 'vc', 'ja', 'então', 'boa', 'sexta', 'hahaha']",-1
157,"['boa', 'noite', 'lindinhas', 'noite', 'rs', 'dignaamada', 'amorainlove', 'nandas2mari', 'agdabritto']",-1
158,"['indo', 'dormir', 'som', 'linda', 'música', 'crença', 'sim', 'verdadeiro', 'sempre', 'httpbitlyafkixa']",-1
159,"['dignaamada', 'olha', 'vídeo', 'postei', 'agora', 'durma', 'bem', 'cheiros']",-1
160,"['eikebatista', 'canhão', 'retorno', 'fale', 'pro', 'felipe', 'melo', 'vai', 'anima', 'boa', 'noite', 'medofeelings']",-1
161,"['amorainlove', 'hello', 'pois', 'interagindo', 'thudhu', 'bom']",-1
162,"['taisrenata', 'fale', 'saudade', 'esquisita']",-1
163,"['amorainlove', 'tb', 'soninho', 'eis', 'trabalho', 'amanhã', 'hj', 'feriado', 'sampa', 'tb', 'trabalho', 'rs', 'affff', 'rs']",-1
164,"['htcolorido', 'oi', 'pssoa', 'tá', 'morando', 'onde', 'aqui', 'sampa', 'quenaosejanazlmodeon']",-1
165,"['juhsavignon', 'moita', 'nuncafui', 'hehehe']",-1
166,"['htcolorido', 'tb', 'aclimação', 'bemnofocodacomidajaponesa', 'adoro']",-1
167,"['amorainlove', 'constituição', '1932', 'porra', 'bisavó', 'nascida', '32', 'quequeeutenhoavercomisso']",-1
168,"['juhsavignon', 'parar', 'contalogotudoquetenhosanguejornalista']",-1
169,"['pssoa', 'fina', 'rsrs', 'rt', 'htcolorido', 'docepimentasp', 'jardins']",-1
170,"['amorainlove', 'galera', 'reuniu', 'contra', 'governo', 'intransigente', 'vargas', 'oficialmente', 'min', '800', 'pssoas', 'morreram', 'cidades', 'bombardeadas']",-1
171,"['enfim', 'alguém', 'entende', 'nessa', 'life', 'rt', 'lenabahirah', 'ah', 'gente', 'complicar', 'sim', 'vida', 'totalmente', 'previsível', 'ñ', 'graça']",-1
172,"['paullamirella', 'vc', 'conhece', 'banda', 'thecorrs', 'fikdik', 'runaway', 'frontiers', 'aí', 'vai', 'amomuito']",-1
173,"['paullamirella', 'vale', 'pena', '02', 'dvds', 'incríveis', 'morasse', 'sp', 'fariate', 'cópia', 'thecorrs']",-1
174,"['gente', 'li', 'piadinhas', 'fodas', 'agora', 'vou', 'trazer', 'perai']",-1
175,"['paullamirella', 'quer', 'dica', 'meio', 'trash', 'pra', 'aumentar', 'galera', 'trashquefunciona', 'bate', 'papo', 'uol', 'salas', 'minas', 'divulgada']",-1
176,"['kcris', 'deixe', 'lembranças', 'saudades', 'minarem', 'enfrente', 'ouça', 'músicas', 'linda', 'msm', 'conhece', 'corrs']",-1
177,"['agdabritto', 'sei', 'lá', 'inventei', 'agora', 'catita', 'hahaha']",-1
178,"['marlenebicalho', 'oi', 'carametade', 'desastre', 'mor', 'dei', 'umas', 'fuçadas', 'hj', 'blog']",-1
179,"['agdabritto', 'ixi', 'amiga', 'marron', 'marromenos', 'termino', 'namoro', 'foda', 'ne']",-1
180,"['agdabritto', 'amiga', 'diz', 'eavidasegue']",-1
181,"['marlenebicalho', 'blog', 'dilicinha', 'ja', 'conhecia', 'sim', 'vou', 'comentar', 'amanha', 'hj', 'tô', 'bode', 'sozinha', 'abandonada', 'sampa', 'rs']",-1
182,"['marlenebicalho', 'vcs', 'moram', 'onde', 'moro', 'aclimação', 'perto', 'liberdade', 'vergueiro', 'paraíso']",-1
183,"['marlenebicalho', 'morava', 'jabaquara', 'comprava', 'açougue', 'massa', 'av', 'sta', 'catarina', 'lá', 'seleta', 'legumes', 'amava', 'sniff']",-1
184,"['galera', 'umas', 'fotos', 'pra', 'mostrar', 'terça', 'sra', 'angelicamorango', 'deu', 'entrevista', 'pra', 'revista', 'vestido', 'micro', 'querem']",-1
185,"['marlenebicalho', 'amo', 'bairro', 'adivinha', 'abriu', 'temakeria', 'lado', 'casa', 'hahaha', 'falenciafeelings']",-1
186,"['03', 'mosqueteiras', 'liviacastrofoto', 'fabsramos', 'livraram', 'perguntinhas', 'básicas', 'vermelhidaonorosto', 'httptwitpiccom23v5hn']",-1
187,"['isabellataviani', 'faltam', '055', 'min', 'rs']",-1
188,"['pssoas', 'incríveis', 'comem', 'spoletto', 'rs', 'httptwitpiccom23v6gt']",-1
189,"['chamado', 'cãomor', 'junto', 'repórter', 'cara', 'sono', 'rs', 'mto', 'legal', 'httptwitpiccom23v73c']",-1
190,"['marlenebicalho', 'viu', 'fotos', 'postei']",-1
191,"['vou', 'fazer', 'comidinha', 'pernambucana', 'agora', 'quer']",-1
192,"['chega', 'som', 'imagem', 'dá', 'né', 'xerus', 'suwerner', 'live', 'httptwitcamcom14790']",-1
193,"['jujubalima', 'nada', 'faço', 'básico', 'hahaha']",-1
194,"['jujubalima', 'taí', 'ótima', 'sobremesas', 'doces', 'bolos']",-1
195,"['medo', 'agdabritto', 'vindo', 'pra', 'sppp', 'rs']",-1
196,"['gente', 'tá', 'pique', 'jv', 'coisa', 'leve', 'rsrsrs']",-1
197,"['rilitros', 'rt', 'amorainlove', 'angelicamorango', 'liquid', 'love', 'iria', 'participar', 'promoção', 'infarta', 'morango', 'kkkkkkk', 'passomal']",-1
198,"['alineborel', 'oi', 'sugeri', 'jv', 'ninguém', 'deu', 'bola', 'tá', 'afim', 'vc', 'moral', 'vem', 'gente', 'rsrsrs']",-1
199,"['amorainlove', 'gosto', 'acho', 'bonita', 'nao', 'nada', 'nao', 'huahahaauahauhau']",-1
200,"['amorainlove', 'hahahaha', 'brincadeirinhaboba', 'rs', 'tb', 'acho']",-1
201,"['amorainlove', 'tb', 'futurarecemsolteiraaindaapaixonada', 'foda', 'rs']",-1
202,"['amorainlove', 'gata', 'depende', 'mim', 'vamos', 'ver', 'futuro', 'reserva', 'és', 'solteira']",-1
203,"['amorainlove', 'puts', 'complicado', 'respeita', 'sensações', 'sim', 'ótimo', 'ver', 'então', 'encara', 'seicomoé']",-1
204,"['amorainlove', 'normalll', 'imagina', 'situação', 'pssoa', 'tb', 'ne', 'fodas']",-1
205,"['uia', 'rt', 'papertomaz', 'amorainlove', 'fia', 'conto', 'tô', 'fazendorsss']",-1
206,"['cara', 'querido', 'amigoo', 'expatrão', 'djbuts', 'rt', 'lenabahirah', 'melhores', 'escritores', 'país', 'fabrício', 'carpinejar', 'jô']",-1
207,"['milanuness', 'problemas', 'sérios', 'pq', 'cabelo', 'crespo', 'diziam', 'piolho', 'causou', 'traumas', 'acredita']",-1
208,"['milanuness', 'bem', 'exagerado', 'váarias', 'vezes', 'pra', 'secretaria', 'comecei', 'alisar', 'cabelo', 'adolescencia', 'hj', 'queria', 'telos', 'cacheados', 'nao', 'posso']",-1
209,"['milanuness', 'vingança', 'branca', 'hj', 'tô', 'melhor', 'aparencia', 'todas', 'magoaram', 'rs']",-1
210,"['milanuness', 'problema', 'tempos', 'sim', 'acho', 'reflexo', 'longa', 'historia', 'pra', 'contar', 'aqui', 'bem', 'complicado']",-1
211,"['lenabahirah', 'putso', 'carpinejar', 'gay', 'legal', 'gente', 'ver', 'aparências', 'enganam', 'fazem', 'menor', 'diferença', 'namoradalinda']",-1
212,"['hahaha', 'moço', 'ótimo', 'carpinejar', 'rt', 'milanuness', 'rindo', 'moço', 'ta', 'jo']",-1
213,"['acho', 'vou', 'pegar', 'carona', 'agdabritto', 'mimir']",-1
214,"['pqp', 'carpinejar', 'tá', 'fudendo', 'verdades', 'absolutas', 'genio']",-1
215,"['jujubalima', 'oww', 'linda', 'trabalho', 'amanhã', 'dó']",-1
216,"['gente', 'tá', 'absurdaaaa', 'briga', 'jô', 'soares', 'x', 'carpinejar', 'huahahhuahau']",-1
217,"['jujubalima', 'sono', 'rs', 'cheiros', 'tb', 'adorei']",-1
218,"['alguem', 'aí', 'quer', 'peixe', 'pq', 'pesquei', 'vários', 'aqui', 'cheiros', 'todasssss']",-1
219,"['owww', 'esquisita', 'aninhaebc', 'rafinhafarias', 'tá', 'imitando', 'tt', 'pala', 'hahaha']",-1
220,"['amo', 'perdidamente', 'agora', 'rt', 'quasegay', 'graça', 'ter', '5846844360681615', 'followers', 'tweets', 'merda']",-1
221,"['aninhaebc', 'dá', 'vontade', 'fazer', 'comentário', 'desaforado', 'pra', 'menina', 'httptwitpiccom23v6gt', 'acho', 'vou', 'fazer']",-1
222,"['quasegay', 'verdade', 'gosto', 'pouquinhos', 'interagem']",-1
223,"['prezada', 'pimentinha17', '2', 'pessoas', 'usam', 'computador', 'pode', 'acontecer', 'postar', 'twitcam', 'c', 'perfil', 'errado', 'marlenebicalho']",-1
224,"['pimentinha17', 'certamente', 'aconteceu', 'marlenebicalho', 'postou', 'comentario', 'c', 'id', 'angelicamorango', 'httptwitpiccom23v6gt']",-1
225,"['pimentinha17', 'pouco', 'conheço', 'daqui', 'bbb', 'fizeram', 'ter', 'certeza', 'angelicamorango', 'jamais', 'mentiria', 'aqui', 'marlenebicalho']",-1
226,"['pimentinha17', 'então', 'reflita', 'comentntário', 'friend', 'esotu', 'justificando', 'defendendo', 'pq', 'famosa', 'faria', 'qq', 'pssoa', 'abç']",-1
227,"['sabem', 'descobri', 'pessoa', 'acróstica', 'adivinhem', 'hahahah']",-1
