,tokens,class
53,"['rt', 'um', 'homemdeverdade', 'rt', 'porcopedia', 'pra', 'vc', 'que', 'desmaia', 'qdo', 'tira', 'sangue', 'chegou', 'o', 'plano', 'odontomacho', 'http307tofnj', 'via', 'lenazzo']",-1
54,"['se', 'o', 'kassabe', 'fosse', 'homemdeverdade', 'diria', 'a', 'culpa', 'é', 'minha', 'não', 'fiz', 'projeto', 'algum', 'para', 'as', 'chuvas', 'e', 'de', 'vcs', 'povão', 'porco', 'que', 'não', 'cobra', 'nada']",-1
55,"['sobreviver', 'no', 'haiti', 'missão', 'homemdeverdade', 'mesmo']",-1
56,"['mariolemes', 'vc', 'é', 'homemdeverdade', 'e', 'tem', 'twitter']",3.1
57,"['video', 'clipe', 'da', 'semana', 'httpwwwyoutubecomwatchviqghq0ilvok']",-1
58,"['homemdeverdade', 'usa', 'twitter', 'é', 'a', 'pergunta', 'que', 'fazem', 'a', 'todo', 'momento']",-1
59,"['claro', 'que', 'sim', 'é', 'só', 'vc', 'não', 'ser', 'um', 'babaca', 'nerds', 'um', 'valentão', 'da', 'rede', 'uma', 'mulher', 'imbecil', 'um', 'hipster', 'freak', 'ou', 'viciado', 'em', 'celebridades']",3.3
60,"['a', 'propósito', 'homemdeverdade', 'não', 'vai', 'a', 'campus', 'party', 'lugar', 'de', 'baitolinhas', 'sem', 'amigos', 'reais', 'e', 'muito', 'virgem', 'também']",3.1
61,"['homemdeverdade', 'não', 'homem', 'na', 'metade', 'http19mediatumblrcomtumblrktygckpa2e1qz88eno1400jpg']",-1
62,"['homemdeverdade', 'não', 'precisa', 'de', 'lingerieday', 'puta', 'parada', 'de', 'barangasnerds', 'atrás', 'de', 'rolas', 'virgens', 'pra', 'isso', 'tem', 'sites', 'pornôs', 'bem', 'melhores']",3.3
63,"['campusparty', 'esse', 'lugar', 'que', 'deve', 'feder', 'espinha', 'azeda', 'que', 'passou', 'da', 'validade', 'tem', 'menos', 'mulher', 'do', 'que', 'um', 'vale', 'tudo', 'em', 'juazeiro']",3.3
64,"['quando', 'o', 'homemdeverdade', 'viu', 'o', 'ipad', 'gritou', 'steve', 'mesa', '7', '2', 'cervejas', '4', 'copos', 'americanos', 'uma', 'porção', 'de', 'fritas', 'e', 'outrade', 'calabresa']",-1
65,"['homem', 'que', 'é', 'homem', 'só', 'conhece', 'dois', 'cheiros', 'de', 'mulher', 'o', 'bom', 'e', 'o', 'ruim']",3.1
66,"['não', 'usa', 'camiseta', 'sem', 'manga', 'a', 'menos', 'que', 'vá', 'malhar', 'ou', 'praticar', 'algum', 'esporte']",-1
67,"['deus', 'é', 'justo', 'mas', 'a', 'calça', 'da', 'carol', 'mamãeeee']",-1
68,"['faz', 'campeonato', 'de', 'peido', 'com', 'os', 'amigos']",-1
69,"['bebe', 'cana', 'pura', 'e', 'não', 'faz', 'careta']",-1
70,"['homem', 'que', 'é', 'homem', 'arrota', 'com', 'suco', 'de', 'laranja']",3.1
71,"['palavra', 'do', 'dia', 'que', 'homem', 'que', 'é', 'homem', 'não', 'diz', 'fragrância']",3.1
72,"['homem', 'que', 'é', 'homem', 'arrota', 'com', 'suco', 'de', 'laranja', 'no', 'ouvido', 'da', 'namorada']",3.1
73,"['homem', 'que', 'é', 'homem', 'só', 'come', 'carne', 'peixe', 'é', 'coisa', 'de', 'bixa']",3.1
74,"['faz', 'pontaria', 'em', 'qlq', 'coisa', 'q', 'der', 'na', 'telha', 'com', 'jato', 'de', 'mijo']",-1
75,"['não', 'lava', 'aquela', 'cueca', 'q', 'acabou', 'de', 'comprar', 'antes', 'de', 'usar']",-1
76,"['homem', 'que', 'é', 'homem', 'brinca', 'de', 'girocóptero', 'no', 'banheiro', 'da', 'casa', 'da', 'sogra']",3.1
77,"['conhece', 'três', 'cores', 'azul', 'vermelho', 'e', 'amarelo']",-1
78,"['homem', 'que', 'é', 'homem', 'come', 'doritos', 'de', 'pimenta', 'com', 'geléia', 'extraforte', 'de', 'pimenta', 'e', 'guaraná', 'ice']",3.1
79,"['o', 'porteiro', 'é', 'homemdeverdade', 'rt', 'latinlover', 'massagear', 'o', 'ego', 'de', 'uma', 'mulher', 'não', 'é', 'elogiar', 'sua', 'bunda', 'e', 'seus', 'peitos', 'isso', 'o', 'porteiro', 'faz']",-1
80,"['tem', 'mão', 'de', 'homem', 'ou', 'seja', 'com', 'calos']",3.1
81,"['homem', 'que', 'é', 'homem', 'não', 'assiste', 'a', 'fazenda']",3.1
82,"['musical', 'kiporréssa', 'por', 'um', 'homem', 'que', 'é', 'homem']",3.1
83,"['sexochurrascocervejadormir', 'carnavalem4palavras']",-1
84,"['homem', 'que', 'é', 'homem', 'não', 'nota', 'o', 'esmalte', 'das', 'mulheres']",3.1
85,"['homem', 'que', 'é', 'homem', 'não', 'come', 'bebe']",3.1
86,"['homem', 'que', 'é', 'homem', 'troca', 'o', 'pênis', 'por', '1', 'fígado', 'a', 'mais']",3.1
87,"['não', 'brocha', 'com', 'calcinha', 'bege']",-1
88,"['não', 'sabe', 'que', 'cor', 'é', 'bege']",-1
89,"['fodemal', 'se', 'não', 'sabe', 'nadar', 'amputa', 'as', 'pernas', 'melhor', 'um', 'inválido', 'do', 'que', 'um', 'incompetente']",10.2
90,"['sim', 'eu', 'tenho', 'mais', 'o', 'que', 'fazer', 'do', 'que', 'ficar', 'twittando', 'para', 'seu', 'entretenimento']",-1
91,"['manda', 'pro', 'seu', 'amigo', 'franguinha', 'httpbigassmessagecom2fef80ca9']",-1
92,"['feliz', 'dos', 'homens', 'que', 'gostam', 'de', 'mulheres', 'httplooklooktumblrcom']",4.2.2
93,"['aquelas', '130', 'operárias', 'que', 'foram', 'queimadas', 'dentro', 'da', 'fábrica', 'em', '1857', 'são', 'homemdeverdade', 'mais', 'que', 'muito', 'bundão', 'covarde', 'sem', 'carater']",-1
94,"['homemdeverdade', 'quando', 'vacila', 'assume', 'rapidamente', 'a', 'responsabilidade', 'e', 'paga', 'o', 'erro', 'com', 'humor']",3.1
95,"['dar', 'risada', 'de', 'si', 'mesmo', 'homemdeverdade', 'rir', 'das', 'cagadas', 'alheias', 'melhor', 'ainda']",-1
96,"['essa', 'hora', 'sexta', 'feira', 'homemdeverdade', 'não', 'vai', 'pra', 'baladinha', 'de', 'vagabundoessa', 'hora', 'já', 'demos', 'duas', 'agora', 'é', 'só', 'relax']",3.1
97,"['latinlover', 'cedemos', 'ao', 'encanto', 'e', 'caímos', 'de', 'boca', 'meu', 'caro']",-1
98,"['fala', 'ai', 'mariquinhas', 'e', 'afins', 'como', 'vai', 'a', 'falta', 'de', 'culhão', 'para', 'resolver', 'qualquer', 'coisinha']",4.2.2
99,"['agora', 'sim', 'homemdeverdade', 'pode', 'usar', 'perfume', 'httpwwwyoutubecomwatchvwx6dp99bye']",3.1
100,"['latinlover', 'perfume', 'pra', 'mão', 'jovem', 'amantepra', 'mão', 'cappice']",-1
101,"['mesmo', 'a', 'pedidos', 'me', 'recuso', 'falar', 'do', 'bbb', 'homemdeverdade', 'não', 'entra', 'em', 'programinha', 'pra', 'ganhar', 'milhão', 'a', 'gente', 'ganha', 'na', 'batalha', 'do', 'dia', 'a', 'dia']",3.1
102,"['fora', 'que', 'só', 'tem', 'frangas', 'ali', 'bombadinhos', 'chiliquentos', 'gays', 'que', 'exploram', 'suas', 'condições', 'e', 'pedaços', 'de', 'carne', 'para', 'a', 'massa', 'carcerária']",-1
103,"['ricky', 'martin', 'demorou', 'tanto', 'tempo', 'assim', 'pra', 'assumir', 'pq', 'tava', 'dando', 'a', 'bunda', 'é', 'não', 'se', 'reprima', 'caralho', 'literalmente', 'pra', 'vc']",-1
104,"['no', 'futebol', 'hqeh', 'é', 'atacante', 'acha', 'meiodecampo', 'coisa', 'de', 'veado']",3.1
105,"['hqeh', 'não', 'sai', 'mostrando', 'a', 'sua', 'bunda', 'em', 'época', 'de', 'carnaval']",3.1
106,"['hqeh', 'não', 'pergunta', 'à', 'esposanamorada', 'onde', 'ela', 'quer', 'ir', 'fala', 'pra', 'onde', 'eles', 'vão', 'e', 'pronto']",3.3
107,"['hqeh', 'acorda', 'cedo', 'pra', 'assistir', 'os', 'jogos', 'da', 'copa', 'worldcup']",3.1
108,"['brunynhobtc', 'esse', 'é', 'o', 'espirito', 'true', 'man']",-1
109,"['pra', 'você', 'que', 'não', 'gosta', 'de', 'futebol', 'fodase', 'seu', 'mané', 'sem', 'alma']",-1
110,"['aliás', 'pra', 'que', 'ver', 'futebol', 'na', 'copa', 'se', 'você', 'não', 'vai', 'acompanhar', 'nada', 'nos', 'próximos', '4', 'anos', 'de', 'novo', 'deixe', 'quem', 'gosta', 'ver', 'em', 'paz']",-1
111,"['frangas', 'de', 'plantão', 'eu', 'voltei', 'chhuuuuupaaaaaa']",-1
112,"['vc', 'é', 'chique', 'benhe', 'ryanreminho', 'live', 'on', 'httptwitcamcom11hdu']",-1
113,"['nossa', 'não', 'gosto', 'de', 'cameras', 'rs', 'ryanreminho', 'live', 'on', 'httptwitcamcom11hdu']",-1
114,"['tadinho', 'do', 'goby', 'rsrsrs', 'ryanreminho', 'live', 'on', 'httptwitcamcom11hdu']",-1
115,"['bom', 'gente', 'boa', 'twitcam', 'pra', 'todosssss', 'cheirossss', 'ryanreminho', 'live', 'on', 'httptwitcamcom11hdu']",-1
116,"['kcris', 'ouvindo', 'a', 'música', 'preciso', 'de', 'vc', 'excelente', 'linda', 'foda', 'pq', 'tô', 'separando', 'pqp']",-1
117,"['fcnossamorango', 'excelente', 'post', 'história', 'tb']",-1
118,"['rt', 'salvenordeste', 'obrigado', 'pelo', 'seu', 'apoio', 'e', 'contamos', 'com', 'vc', 'para', 'a', 'divulgação', 'da', 'campanha', 'e', 'as', 'salvealagoas', 'e', 'salvepernambuco']",-1
119,"['thaisbza', 'kkkkkk', 'massa', 'né', 'pode', 'passar', 'pra', 'frente', 'claro', 'cheiros']",-1
120,"['já', 'sentiram', 'q', 'tá', 'tudo', 'errado', 'q', 'as', 'pessoas', 'mais', 'importantes', 'acabam', 's', 'perdendo', 'por', 'errosinseguranças', 'tuas', 'foda', 'hora', 'de', 'mudar', 'boas', 'noites']",-1
121,"['aninhaebc', 'tá', 'no', 'msn']",-1
122,"['aninhaebc', 'nossa', 'ta', 'chiques', 'rs', 'mtos', 'contatos', 'hahaah', 'ta', 'boa']",-1
123,"['angelicamorango', 'nusssss', 'magavilha', 'heinnn', 'massa', 'esse', 'promo']",-1
124,"['com', 'h', 'maiúsculo', 'não', 'tem', 'twitter', 'então', 'você', 'já', 'sabe', 'quem', 'deve', 'ter', 'criado', 'esse', 'perfil']",-1
125,"['não', 'gosta', 'de', 'bater', 'papo', 'no', 'msn', 'ele', 'responde', 'porque', 'os', 'outros', 'falam', 'nem', 'tem', 'tempo', 'pra', 'frescura']",3.1
126,"['não', 'faz', 'as', 'unhas', 'e', 'nem', 'corta', 'com', 'tesoura', 'corta', 'com', 'o', 'trinco', 'mesmo']",-1
127,"['não', 'usa', 'roupa', 'corderosa', 'nem', 'roxo']",-1
128,"['não', 'faz', 'a', 'barba', 'todo', 'dia']",-1
129,"['não', 'gosta', 'de', 'fazer', 'compras', 'faz', 'porque', 'a', 'mulher', 'força']",3.1
130,"['olha', 'primeiro', 'pros', 'peitos', 'das', 'mulheres']",3.3
131,"['gosta', 'de', 'futebol', 'cerveja', 'e', 'mulheres']",-1
132,"['tem', 'amiga', 'mas', 'morre', 'de', 'vontade', 'é', 'de', 'comêlas']",3.3
133,"['eu', 'volteiiii', 'agora', 'pra', 'ficarrrr']",-1
134,"['convida', 'nui', 'de', 'sampa', 'rt', 'htcolorido', 'vamos', 'p', 'uma', 'baladinha', 'em', 'sampa', 'fabsramos', 'liviacastrofoto', 'tiaglopes', 'brunomatos', 'e', 'lucas']",-1
135,"['ninguém', 'chega', 'em', 'casa', 'falando', '“', 'mãe', 'sou', 'hétero', '”', 'então', 'por', 'que', 'tem', 'que', 'chegar', 'e', 'dizer', '“', 'mãe', 'sou', 'gay', '”', '”', 'by', 'mariagadu', 'epronto']",-1
136,"['angelicamorango', 'taí', 'qria', 'um', 'picolé', 'de', 'carambola', 'ou', 'jambo', 'recifefeelings', 'mas', 'o', 'dia', 'hj', 'mto', 'trab', 'e', 'a', 'noite', 'a', 'solidão', 'é', 'fera']",-1
137,"['oxente', 'pq', 'sou', 'tão', 'santa', 'rsrt', 'agdabritto', 'docepimentasp', 'oooooooooo', 'maluca']",-1
138,"['não', '1', 'coisa', 'ñ', 'elimina', 'a', 'outra', 'rt', 'quasegay', 'agdabritto', 'ain', 'menina', 'tenho', 'entrevista', 'd', 'emprego', 'semana', 'que', 'vem', 'vou', 'sair', 'da', 'prostituição', 'rs']",-1
139,"['angelicamorango', 'a', 'pimenta', 'comentada', 'na', 'estrevista', 'httptwitpiccom1o2bln']",-1
140,"['ainda', 'não', 'acredito', 'que', 'não', 'estarei', 'em', 'recife', 'dia', '2407', 'no', 'oquartosecreto', 'com', 'a', 'angelicamorango', 'serio', 'saco', 'boloderolofeelings']",-1
141,"['angelicamorango', 'hj', 'tdo', 'mundo', 'preoc', 'c', 'uma', 'colega', 'no', 'escrit', 'que', 'eu', 'sabia', 'q', 'tinha', 'ido', 'fazer', 'entrevista', 'eu', 'disfarçando', 'e', 'fazendo', 'a', 'preocupada']",-1
142,"['não', 'nasceu', 'em', '13121978', 'acredite', 'meu', 'apelido', 'de', 'infância', 'maria', 'desastre', 'rt', 'alineborel', 'tá', 'pra', 'nascer', 'pessoa', 'mais', 'desastrada', 'que', 'eu']",-1
143,"['hj', 'eu', 'vi', 'a', 'biacampos12', 'perguntando', 'p', 'angelicamorango', 'no', 'tt', 'como', 'funciona', 'a', 'promoção', 'e', 'a', 'dona', 'morangorespondendo', 'como', 'funciona', 'odiadehoje']",-1
144,"['alineborel', 'é', 'sério', 'qq', 'dia', 'te', 'relato', 'umas', 'boas', 'sou', 'especialista', 'pósgraduada', 'em', 'auto', 'flagelação', 'e', 'me', 'formei', 'em', 'desligamento', 'exemplo']",-1
145,"['alineborel', 'ex', 'só', 'hj', 'percebi', 'que', 'vc', 'que', 'é', 'promoter', 'do', 'comunidade', 'morango', 'ainda', 'tô', 'tentando', 'descobrir', 'quem', 'é', 'tua', 'sócia', 'tofalando']",-1
146,"['analethicia', 'aff', 'que', 'tutorial', 'não', 'é', 'tédio', 'vê', 'um', 'de', 'edição', 'de', 'vídeo', 'que', 'vc', 'entra', 'numa', 'facul', 'de', 'maquiagem']",-1
147,"['renatuuus', 'q', 'fodas', 'hein', 'amigo']",-1
148,"['marlenebicalho', 'é', 'q', 'vc', 'nunca', 'falou', 'comigo', 'madry', 'então', 'fiquei', 'triste', 'quase', 'ligando', 'pro', 'falaqueeuteescuto', 'pra', 'pedir', 'oração', 'agoraestoufeliz']",-1
149,"['adoro', 'essa', 'energia', 'daqui', 'não', 'gosto', 'de', 'lembrar', 'que', 'vou', 'trabalhar', 'no', 'feriado', 'mas', 'gosto', 'de', 'ter', 'emprego', 'então', 'tá', 'ótimo', 'rs']",-1
150,"['tá', 'doendo', 'simmm', 'tá', 'doendo', 'em', 'mimmmmm', 'namorada', 'de', 'felipe', 'melo', 'httpwwwyoutubecomwatchvajv6yjrekqm']",3.3
151,"['marlenebicalho', 'do', 'jeito', 'que', 'sou', 'desastrada', 'se', 'coloco', 'copo', 'de', 'água', 'em', 'cima', 'da', 'tv', 'fico', 'sem', 'melhornao', 'oremospranaoorar']",-1
152,"['marlenebicalho', 'começou', 'fala', 'que', 'eu', 'te', 'escuto', 'assistir', 'dr', 'house', 'dá', 'nisso', 'hahahaha']",-1
153,"['marlenebicalho', 'qq', 'dia', 'te', 'relato', 'umas', 'sou', 'pósgraduada', 'em', 'autoflagelação', 'e', 'm', 'formei', 'em', 'desligamento', 'apelido', 'd', 'infancia', 'maria', 'desastre']",-1
154,"['é', 'por', 'quê', 'rt', 'patriciakataki', 'vc', 'me', 'deixou', 'pq']",-1
155,"['marlenebicalho', 'bora', 'fazer', 'um', 'campeonato', 'madry', 'hahaha', 'vc', 'podia', 'ser', 'minha', 'mãe', 'embora', 'ache', 'que', 'não', 'tem', 'idade', 'snifff', 'saudadedemainha']",-1
156,"['marlenebicalho', 'ia', 'dar', 'boa', 'noite', 'mas', 'vc', 'ja', 'foi', 'então', 'boa', 'sexta', 'hahaha']",-1
157,"['boa', 'noite', 'lindinhas', 'da', 'noite', 'rs', 'dignaamada', 'amorainlove', 'nandas2mari', 'agdabritto']",-1
158,"['indo', 'dormir', 'ao', 'som', 'de', 'uma', 'linda', 'música', 'e', 'da', 'crença', 'de', 'que', 'sim', 'o', 'que', 'é', 'verdadeiro', 'é', 'para', 'sempre', 'httpbitlyafkixa']",-1
159,"['dignaamada', 'olha', 'o', 'vídeo', 'que', 'postei', 'agora', 'e', 'durma', 'bem', 'cheiros']",-1
160,"['eikebatista', 'canhão', 'com', 'retorno', 'não', 'fale', 'isso', 'pro', 'felipe', 'melo', 'vai', 'que', 'ele', 'se', 'anima', 'boa', 'noite', 'medofeelings']",-1
161,"['amorainlove', 'hello', 'pois', 'é', 'mas', 'estava', 'interagindo', 'thudhu', 'bom']",-1
162,"['taisrenata', 'nossa', 'nem', 'me', 'fale', 'saudade', 'da', 'esquisita']",-1
163,"['amorainlove', 'tb', 'soninho', 'e', 'eis', 'que', 'trabalho', 'amanhã', 'hj', 'é', 'feriado', 'em', 'sampa', 'e', 'tb', 'trabalho', 'rs', 'affff', 'rs']",-1
164,"['htcolorido', 'oi', 'pssoa', 'tá', 'morando', 'onde', 'aqui', 'em', 'sampa', 'quenaosejanazlmodeon']",-1
165,"['juhsavignon', 'que', 'é', 'moita', 'nuncafui', 'hehehe']",-1
166,"['htcolorido', 'eu', 'tb', 'aclimação', 'bemnofocodacomidajaponesa', 'adoro']",-1
167,"['amorainlove', 'constituição', 'de', '1932', 'porra', 'nem', 'minha', 'bisavó', 'era', 'nascida', 'em', '32', 'quequeeutenhoavercomisso']",-1
168,"['juhsavignon', 'para', 'de', 'parar', 'contalogotudoquetenhosanguejornalista']",-1
169,"['pssoa', 'fina', 'rsrs', 'rt', 'htcolorido', 'docepimentasp', 'jardins']",-1
170,"['amorainlove', 'uma', 'galera', 'que', 'se', 'reuniu', 'contra', 'o', 'governo', 'intransigente', 'de', 'vargas', 'oficialmente', 'min', '800', 'pssoas', 'morreram', 'cidades', 'bombardeadas']",-1
171,"['até', 'que', 'enfim', 'alguém', 'me', 'entende', 'nessa', 'life', 'rt', 'lenabahirah', 'ah', 'a', 'gente', 'tem', 'que', 'complicar', 'sim', 'uma', 'vida', 'totalmente', 'previsível', 'ñ', 'tem', 'graça']",-1
172,"['paullamirella', 'vc', 'conhece', 'a', 'banda', 'thecorrs', 'fikdik', 'runaway', 'no', 'frontiers', 'at', 'your', 'side', 'e', 'por', 'aí', 'vai', 'amomuito']",-1
173,"['paullamirella', 'vale', 'muito', 'a', 'pena', 'tenho', '02', 'dvds', 'incríveis', 'se', 'morasse', 'em', 'sp', 'fariate', 'uma', 'cópia', 'thecorrs']",-1
