text,class
@AlineBorel Ex: Só hj percebi que vc que é Promoter do Comunidade Morango. Ainda tô tentando descobrir quem é tua sócia.. #tofalando,-1
"@ana_lethicia Aff, que tutorial não é tédio??? ^VÊ um de edição de vídeo que vc entra numa facul de maquiagem",-1
"@renatuuus Q fodas, hein amigo...",-1
"@MarleneBicalho É q vc nunca falou comigo Madry, então, fiquei triste quase ligando pro #falaqueeuteescuto pra pedir oração. Agoraestoufeliz",-1
"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.",-1
"Tá doendo simmm, tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- http://www.youtube.com/watch?v=AjV6YjREKqM",3.3
"@MarleneBicalho Do jeito que sou desastrada, se coloco copo de água em cima da Tv, fico sem! #melhornao #oremospranaoorar",-1
@MarleneBicalho Começou fala que eu te escuto!!! (Assistir Dr House dá nisso) hahahaha,-1
"@MarleneBicalho Qq dia te relato umas. Sou pós-graduada em auto-flagelação e m formei em ""desligamento"". Apelido d infancia: Maria Desastre.",-1
"É, POR QUÊ? RT @Patriciakataki    Vc me deixou..! pq??",-1
"@MarleneBicalho Bora fazer um campeonato, Madry? hahaha... Vc podia ser minha mãe, embora ache que não tem idade.. snifff #saudadedemainha",-1
"@MarleneBicalho Ia dar boa noite, mas, vc ja foi então, boa sexta! hahaha",-1
"Boa noite, Lindinhas da noite rs. @digna_amada @amora_inlove @nandas2mari
@agdabritto",-1
"Indo dormir ao som de uma linda música, e da crença de que sim, o que é verdadeiro é para sempre. http://bit.ly/afKiXa",-1
@digna_amada ;) Olha o vídeo que postei agora... e durma bem. Cheiros!,-1
"@eikebatista Canhão com retorno? Não fale isso pro Felipe Melo, vai que ele se anima... Boa noite! #medofeelings",-1
"@amora_inlove Hello, pois é, mas, estava interagindo... thudhu bom ?",-1
"@Tais_Renata NOssa, nem me fale, saudade da esquisita..",-1
@amora_inlove Tb soninho.. e eis que trabalho amanhã. hj é feriado em sampa e tb trabalho rs affff rs,-1
"@HTColorido Oi, Pssoa.. Tá morando onde aqui em Sampa? #quenaosejanazlmodeon",-1
@JuhSavignon que é moita? #nuncafui hehehe,-1
"@HTColorido eu tb, Aclimação #bemnofocodacomidajaponesa #adoro",-1
"@amora_inlove Constituição de 1932. Porra, nem minha bisavó era nascida em 32. #quequeeutenhoavercomisso",-1
@JuhSavignon para de parar. #Contalogotudoquetenhosanguejornalista,-1
Pssoa Fina... rsrs RT @HTColorido @DocePimenta_Sp jardins,-1
"@amora_inlove Uma galera que se reuniu contra o governo intransigente de  Vargas. Oficialmente min 800 pssoas morreram, cidades bombardeadas",-1
"Até que enfim alguém me entende nessa life RT @lenabahirah Ah, a gente tem que complicar, sim, uma vida totalmente previsível ñ tem graça...",-1
"@paullamirella Vc conhece a Banda #thecorrs ? #fikdik ""Runaway"", ""No frontiers"" ""At Your Side"".. e por aí vai (AmoMuito)",-1
@paullamirella Vale MUITO a pena.. Tenho 02 DVDs incríveis. Se morasse em Sp faria-te uma cópia. #thecorrs,-1
"Gente, li piadinhas fodas agora.. vou trazer uma, perai",-1
@paullamirella Quer uma dica meio trash pra aumentar a galera do show? #Trashquefunciona >> Bate Papo UOL salas de minas. Da uma divulgada!,-1
"@_kcris Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?",-1
"@agdabritto Sei lá, inventei agora.. #catita hahaha",-1
"@MarleneBicalho Oi, cara-metade do desastre mor... dei umas fuçadas hj no blog!",-1
"@agdabritto Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne",-1
"@agdabritto Nem eu, amiga.. nem eu. e como ela diz: #eavidasegue",-1
"@MarleneBicalho O blog é uma dilicinha.. ja conhecia sim, vou comentar amanha... hj tô de bode, sozinha e abandonada em sampa rs",-1
"@MarleneBicalho vcs moram por onde? Eu moro na Aclimação, perto da Liberdade, Vergueiro, Paraíso...",-1
"@MarleneBicalho morava no Jabaquara, comprava num açougue massa na Av Sta Catarina, só lá tinha a seleta de legumes que eu amava... sniff",-1
"Galera, tenho umas fotos pra mostrar de terça, quando a sra @angelicamorango deu entrevista pra uma revista com vestido micro.. querem?",-1
@MarleneBicalho Eu amo esse bairro e adivinha? abriu uma temakeria do lado de casa hahaha #falenciafeelings,-1
As 03 mosqueteiras! A @liviacastrofoto e a @fabsramos não se livraram de perguntinhas básicas! #vermelhidaonorosto http://twitpic.com/23v5hn,-1
"@isabellataviani Ou seja, faltam 0:55 min.. rs",-1
Pssoas incríveis que só comem no Spoletto. rs. http://twitpic.com/23v6gt,-1
E o chamado Cãomor junto com uma repórter cara de sono... rs. Mto legal! http://twitpic.com/23v73c,-1
@MarleneBicalho Viu as fotos que postei?,-1
Vou fazer uma comidinha pernambucana agora... quem quer?? ;),-1
"Chega, sem som e sem imagem não dá, né? Xerus (@suwerner live on http://twitcam.com/14790))",-1
"@_jujuba_lima SOu nada, faço o básico hahaha",-1
"@_jujuba_lima Taí, sou ótima com sobremesas, doces, bolos...",-1
#medo da @agdabritto vindo pra Sppp rs....,-1
"Gente, quem tá no pique de um JV??? Coisa leve.. Ou não! rsrsrs",-1
"#rilitros RT @amora_inlove @angelicamorango se eu tivesse na Liquid Love, iria participar da Promoção ME INFARTA MORANGO, kkkkkkk #passomal",-1
"@AlineBorel OI! Sugeri um JV e ninguém me deu bola... tá afim? vc te mais moral que eu, vem mais gente. rsrsrs",-1
"@amora_inlove Gosto não, acho ela bonita nao, nem nada nao... huahahaauahauhau",-1
"@amora_inlove hahahaha, #brincadeirinhaboba rs tb acho",-1
"@amora_inlove Eu tb, mas, sou uma futurarecemsolteiraaindaapaixonada #foda rs",-1
"@amora_inlove Own gata, depende só de mim não.. nem dela.. mas, vamos ver o que o futuro nos reserva... E tu? és solteira???",-1
"@amora_inlove Puts, complicado... Mas, ele respeita tuas sensações? Se sim, ótimo. Tem que ver então como ele encara isso.. Seicomoé",-1
"@amora_inlove Normalll.. imagina a situação da pssoa tb ne, fodas...",-1
uia RT @paper_tomaz    @amora_inlove Fia nem te conto o que tô fazendo..rsss,-1
"E ele é a cara do meu querido amigoo ex-patrão @djbuts RT @lenabahirah Um dos melhores escritores do país, Fabrício @Carpinejar no Jô! =)",-1
"@milanuness Eu! Tive problemas sérios! Pq meu cabelo era crespo. Diziam que eu tinha piolho e isso causou traumas, acredita?",-1
"@milanuness Bem exagerado, fui váarias vezes pra secretaria. Comecei alisar o cabelo na adolescencia, Hj queria te-los cacheados e nao posso",-1
@milanuness Minha vingança branca é que hj tô melhor (aparencia) que todas que me magoaram.. rs.,-1
"@milanuness Tive um problema esses tempos sim, que acho que foi reflexo... mas, é longa a historia pra contar aqui.. foi bem complicado.",-1
"@lenabahirah Puts,o @CARPINEJAR não é gay... Legal a gente ver que as aparências enganam e não fazem a MENOR diferença. #namoradalinda",-1
"Hahaha, ""esse moço"" foi ótimo! Só o @carpinejar RT @milanuness RINDO MUITO com esse moço que ta no Jo!",-1
Acho que vou pegar carona com a @agdabritto e mimir,-1
PQP o @carpinejar tá me fudendo com essas verdades absolutas!!! #genio,-1
"@_jujuba_lima Oww, linda.. trabalho amanhã =/ dó",-1
"Gente, tá ABSURDAAAA a briga Jô Soares X @carpinejar huahahhuahau",-1
@_jujuba_lima E o sono... rs. Cheiros. Tb adorei!,-1
"Alguem aí quer peixe? Pq eu já pesquei vários aqui....
Cheiros a todasssss",-1
"Owww, esquisita, @aninha_ebc a @RafinhaFarias tá te imitando com tt pala hahaha",-1
Te amo perdidamente mais agora! RT @Quase_Gay    QUAL A GRAÇA DE TER 5846844360681615 FOLLOWERS SE SEUS TWEETS SÃO UMA MERDA????,-1
@aninha_ebc Num dá vontade de fazer um comentário desaforado pra essa menina? http://twitpic.com/23v6gt Acho que vou fazer!,-1
"@Quase_Gay Verdade.. gosto dos meus pouquinhos, mas, que interagem...",-1
Prezada @Pimentinha_17 Quando 2 pessoas usam o mesmo computador pode acontecer de uma postar na twitcam c o perfil errado. (@marlenebicalho),-1
@Pimentinha_17 Certamente aconteceu isso quando a @marlenebicalho postou o comentario c a ID da @angelicamorango http://twitpic.com/23v6gt,-1
@Pimentinha_17 Pouco que conheço daqui e do BBB me fizeram ter certeza de que a @angelicamorango jamais mentiria aqui... (@marlenebicalho),-1
"@Pimentinha_17 Então, reflita no teu comentntário, friend. E não esotu justificando ou defendendo pq é famosa. Faria com qq Pssoa! Abç",-1
SAbem o que eu descobri??? Uma pessoa Acróstica! Adivinhem quem é??? hahahah,-1
Tenho tanto medo de avião que quando ele passa lá em cima meu coração acelera... Afff,-1
"Cara, isso não é um sonho??? #cocolatraassumidamodeon http://twitpic.com/24exzc",-1
@aninha_ebc Tem galinha gisada? ahhh me convidaaaaaaaaaaaa rsrs #saudadedepernambuco,-1
#atoron RT @marcoluque Se bem que podemos mesclar..uma bela espanhola numa linda holandesa...rsrsrs!,3.3
"Olá, Gatas (e gato hahaha) @jujuba_lima  @aninha_ebc @tais_renata @Quase_Gay @agdabritto @CHRISMORANGUETE @zoooiul @dra_E @marlenebicalho",-1
"@_jujuba_lima que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!",-1
"@JuhSavignon =/ Não sei o que se passa, mas, #força!",-1
@JuhSavignon Fica com Deus! Luz e paz!,-1
"@_jujuba_lima Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs.",-1
"@angelicamorango Ixi, nêga, tá em Sampa não? Aqui tá um dia lindo.. Nem sei que tô fazendo em casa acompanhada de uma colica danada.. =)",-1
"@Coisasdelouco ""...Vim parar nessa cidade p força das circunstâncias.. Aprendi a m virar sozinha.. E NÃO MUDO MINHA POSTURA SÓ P T AGRADAR""!",-1
"Vamos fazer uma corrente? ""TWITTER, vem pros 160 Caracteres!!! Quem adere? #twiter160caracteres",-1
@Quase_Gay Gatooooooooooooooooo Tava sentindo tua falta....,-1
Não vou pro céu! #fato,-1
"Acho que a Morango tem um céu so pra ela rsrs @angelicamorango @biaibelieve Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio...",-1
"@biaibelieve Hahaha, pq no tatuapé tava sol, na Aclimação sol, só na Bela vista que tava nublado??? rsrs Eêee @angelicamorago",-1
"@agdabritto ooowwww, amorrr, ja chegou???",-1
kkkkkkkkkkkkkkkk RT @HugoGloss Mamy gloss mandou msg pro torpedao! #ondefoiqeuerrei,-1
@MarleneBicalho Vi a DM Pssoa! Tudo certim..,-1
@agdabritto Quero saber tudooo como foi o diaaaa!,-1
"@MarleneBicalho Magina.. rs. Dia tão totoso hj em Sp. Eu fiquei em casa, trab ontem até 10 da noite, aff rs. E tu, MAdry?",-1
"@MarleneBicalho NOssa, não há furto? que pena.. essa é a graça! rsrs. Cheirosss",-1
"Amores, pra quem gosta de boa leitura. E até pra quem não gosta, #superindico, da @melaineribeiro http://aescritoraeomusico.blogspot.com/",-1
"Linda, @SabrinaSatoReal Ajuda a divulgar: O primeiro livro da @melaineribeiro ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",-1
"AMore @JuhSavignon Ajuda a divulgar: O primeiro livro da @melaineribeiro ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",-1
"@renatuuus Amore Ajuda a divulgar: O primeiro livro da @melaineribeiro ""A ESCRITORA E O MUSICO"" www.aescritoraeomusico.blogspot.com",-1
"@joaohamu :) lindooooooo, eu que reviso.. da uma lida quando puder",-1
"@paper_tomaz Nossa, tme gente que não faz tattoo pra filho.. me ajuda ne? Isso foi passional!",-1
"@MarleneBicalho OI, Madry, dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",-1
"@MarleneBicalho Vc é gente, cara! rsrs, brigada lindona desastrada do meu S2",-1
"@aninha_ebc Miga, dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",-1
"@Frasesdemae dá uma fuçada lá, mãe, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",-1
"@FCMorango dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",-1
"@ThaisBza Oi, bonita dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",-1
"@Coisasdelouco Gtdá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso)",-1
@melaineribeiro Naoeammmm pq o alter ego tb ama os amigos nessa vida! rs,-1
Preguiça de ir dormir...,-1
"Adoro essa frase: ""Viva os loucos, os normais estão acabando com o mundo"" #fikdik rs...",-1
@angelicamorango Lindo inclusive! Intrigante! Isso é massa!,-1
"@amora_inlove Excelente, parabéns! E que venham as mudanças! www.morangoexpress.blogspot.com/",-1
"RT @luizapossi: queria comer polvo, mas o da copa gerou apego",-1
Acho que vou... ai que preguiça de dormir... xerus!,-1
@carolserodio Mto fofo msm... Qual a raça??,-1
@franmoraes2 Pronto.. É nui aqui tb! =),-1
"@franmoraes2 PArece que tá morrendo né? Liga naum, tem um cachorro aqui no prédio que sempre confundo com uma foda.. rs",-1
@franmoraes2 Pois é.. hahaha.. vi teu forms..,-1
"@lima_paula Matéria sobre o #idolos no Fqte. mto bom o programa,neam? Tenho que ver mais! Parabéns provcestudo. #amoteucabelo",-1
@franmoraes2 @franmyself Cheirossssssssssssssssssss boa noite!,-1
"Oieeee, amoresss! Tô mtooo emocionadaaaa! MINHA SOBRINHA LINDAAA NASCEUUU! Parabéns Kilma e Lipe. Mano, te amo! Bem vinda, Karol! #renovacao",-1
"Oi, amores... @dra_e @agdabritto @Tais_Renata @Coisasdelouco @joaohamu @RitaCassiaCosta @renatuuus Vcs num tem noção da correriaaaa Aff Xeru",-1
"@Quase_Gay @coisasdelouco @agdabritto Hj a correria nao me deixou interagir, mas vcs sao Especiais! Saudadessss. Cheirossss",-1
@franmoraes2 Boa noite esquisitinha legal... rsrs zzzzzzzzzz bjuu zzzzzzz,-1
"Bom dia amores... Os dias passando, as mudanças se tornando inevitáveis e próximas... vai ficando mais difícil. #eavidasegue ?",-1
Homem se verdade não tem dia pra comemorar! Todo dia é dia.,-1
E vc aí franguinha dessossada que só reclama da vida! Para de chorar porra.,3.3
Você jovem que gosta de RESTART! Você ainda vai ter vergonha de si mesmo.,-1
Hei Jovem espinhudo! AXÉ NÃO! RESTART NÃO! LEGIÃO URBANA NÃO ! Tenha um mínimo de decência nessa vida ordinária que vc leva!,-1
A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !,-1
